,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
482,Rail transportation,...,...,...,...,...,105,1,...,...,...,...,...,...,...,...,...,...,1,...,...,...,...,1,...,...,...,109,6,7,...,36,...,27,...,"4,219",...,1,153,5,...,...,304,1,13,6,135,...,...,...,9,31,16,257,2,84,...,...,7,21,...,...,...,...,...,...,11,108,83,841,252,...,"6,850","1,458",...,...,...,...,...,"1,358",412,...,...,...,...,...,...,...,...,...,...,...,...,"3,228","10,078"
483,Water transportation,...,...,...,...,...,10,8,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,...,16,6,...,...,...,...,...,...,...,...,1,...,...,...,...,1,...,...,...,...,...,...,...,...,...,...,"1,075",85,5,5,232,5,47,...,6,1,...,...,...,8,"1,191",118,887,118,...,"3,826","22,027",...,...,...,...,...,"4,858","12,794",...,...,...,...,...,...,...,...,...,...,...,...,"39,678","43,504"
484,Truck transportation,134,...,...,...,126,...,...,70,84,88,322,190,75,53,86,91,75,205,148,30,6,197,48,206,153,198,"4,109","2,058","1,019",721,"4,392",876,128,77,"10,714",97,6,"3,466","1,143",105,32,2,211,...,...,6,4,...,...,221,74,80,"1,035",5,218,38,20,127,201,20,81,22,3,14,135,144,"3,910",69,962,186,12,"39,328","11,700",...,...,...,...,...,"1,629","4,900",...,...,...,...,...,...,...,...,...,...,...,...,"18,230","57,558"
485,Transit and ground passenger transportation,...,1,0,3,83,776,424,33,68,49,129,95,19,9,70,37,41,66,137,5,0,46,58,32,84,114,"1,166",109,4,21,95,1,270,...,...,...,1,167,4,193,54,592,814,"2,741","1,010","1,189",217,20,"5,094",586,552,"1,851","3,253",184,"2,276",154,444,"1,505","1,848",504,171,"2,151",57,91,739,314,27,5,13,"14,484",799,"48,152","47,460",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"47,460","95,611"
486,Pipeline transportation,...,...,280,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,280,...,...,...,...,...,...,256,...,...,...,...,...,...,...,...,...,...,...,...,...,256,536
487OS,Other transportation and support activities,...,82,12,423,6,"8,859",...,530,618,118,79,18,0,3,10,...,323,170,418,42,...,395,370,815,174,491,"59,100","2,223","1,523",520,"11,700","23,547","1,023","4,248","44,636",834,257,"26,626","5,589","1,541",496,155,"3,120",923,"3,317",68,...,...,...,"3,241",747,973,"7,394",613,"2,276","1,575",368,"1,698","2,942",311,"1,354",510,562,98,726,"1,326",5,239,"1,114",671,"2,992","237,144","17,855",...,...,...,...,...,"10,096","3,318",...,...,...,...,...,...,...,...,...,...,...,...,"31,269","268,413"
493,Warehousing and storage,740,...,4,124,...,774,...,971,"1,740",70,584,519,548,80,81,134,105,426,"3,074",686,87,"2,520",746,807,"2,558","2,756","26,470","7,813","5,744","4,171","21,335",72,1,736,"5,383",199,47,892,"6,810",511,138,367,"1,047",...,...,19,...,2,142,544,215,260,"1,026",10,"11,966",263,209,639,"1,064",176,365,200,91,572,968,616,305,"1,288",...,"5,290",103,"128,203",251,...,...,...,...,...,166,...,...,...,...,...,...,...,...,...,...,...,...,...,417,"128,619"
511,"Publishing industries, except internet (includes software)",78,0,14,1,8,270,715,15,2,13,69,43,64,3,16,257,10,28,9,...,0,8,52,5,45,7,"3,473",441,120,219,947,17,56,...,37,8,...,609,134,"47,511",38,688,"1,988","1,105","1,016",630,99,0,876,884,"1,427","1,059","5,375",660,"2,174",20,792,"2,141","1,310",115,"1,737",46,63,138,169,733,58,"1,293",42,"8,950",265,"91,197","149,041",...,...,"124,991",...,-171,"45,606","-4,463",...,...,...,"4,058",...,...,...,"5,266",...,...,...,"10,584","334,913","426,111"
512,Motion picture and sound recording industries,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,78,264,230,...,32,8,...,...,1,...,16,11,...,98,"23,340","41,518",170,30,20,...,...,...,60,351,8,37,"2,609",286,42,...,364,35,9,478,872,295,38,440,"3,036",442,17,909,76,341,...,"76,563","29,445",...,...,"38,541",...,38,"23,669","-11,126",...,...,...,...,...,...,...,...,...,...,...,...,"80,567","157,130"
513,Broadcasting and telecommunications,957,18,317,144,590,"1,910","6,043",328,810,275,"1,173","1,172",365,152,475,885,212,453,"1,299",84,11,344,517,123,658,428,"12,274","2,125",793,498,"6,229",670,103,91,"1,156",858,100,"1,111",489,"2,482",628,"101,202","13,791","12,696","4,137","2,740",965,54,"6,802","1,637","3,327","2,690","8,738","1,975","11,151","1,011","2,400","5,927","2,291","1,230",967,660,"1,066","3,999","4,746","4,571","5,978","7,077","2,108","66,854","1,675","333,816","349,013",...,"7,351","30,517",...,...,"12,951",-159,...,...,...,...,...,...,...,...,...,...,...,...,"399,673","733,490"
514,"Data processing, internet publishing, and other information services",...,0,36,9,25,"4,647","1,687",413,802,514,"1,462","1,646",218,323,482,"2,040",506,640,"1,308",91,12,638,282,164,584,434,"3,541","4,528","1,337","1,219","8,169",605,0,...,121,112,20,853,176,"3,806",110,"4,181","11,715","33,122","4,130","2,392","3,257",4,"1,220",732,"4,260","3,214","14,208","1,352","28,139","1,261","4,622","1,601","2,684",273,781,870,"1,180",864,"8,025","7,936","1,587","3,737",527,"26,032","2,551","220,017","46,715",...,...,"35,440",...,...,"6,075","-1,253",...,...,...,"1,781",...,...,...,"2,310",...,...,...,"4,545","95,614","315,632"
521CI,"Federal Reserve banks, credit intermediation, and related activities","2,838",277,"1,537",822,771,"11,279","7,603",534,837,953,"1,910","2,073","1,386",784,"2,058","1,418",536,"1,567","3,770",265,142,"1,115",771,"1,344","4,368","1,670","41,776","5,943","2,838","3,308","11,582","1,181","6,515","1,065","1,963","4,811",858,"1,973",362,"4,924","2,434","17,709","3,126","99,902","49,459","1,233","4,173","102,196","81,661","13,853","2,550","4,774","15,110","25,390","9,366","1,068","2,370","5,574","5,580","1,075","1,390",975,"1,881","6,819","7,430","17,173",0,"2,172","1,434","15,295","3,311","648,207","278,750",...,...,...,...,...,"60,005","-6,646",...,...,...,...,...,...,...,...,...,...,...,...,"332,109","980,315"
523,"Securities, commodity contracts, and investments",235,15,"1,531","1,359","5,969",626,"1,158",14,44,"1,044","1,563","1,447",131,262,"1,243",570,560,699,84,4,0,12,24,23,21,58,"2,555",85,198,437,550,"1,563",341,733,308,"1,525",41,"1,132",26,311,240,175,94,"36,747","27,042","2,548","96,704",3,"6,016","1,872",505,455,"1,819","7,056",891,30,987,"1,016","5,934",261,"1,499",706,63,"3,542","3,930","3,924",0,4,13,"20,006","2,339","254,922","225,226",...,...,...,...,...,"71,878",-57,...,...,...,...,...,...,...,...,...,...,...,...,"297,047","551,969"
524,Insurance carriers and related activities,"4,251",652,"1,785",801,"3,389","2,255",494,199,980,667,"1,047","1,762",410,934,"2,124","1,340",591,684,"3,722",295,60,367,96,369,"2,432",823,"45,201","4,099","1,500","1,704","8,686",680,41,860,"13,119","6,079",232,"3,680","2,626",605,"1,250","2,203",997,"5,107","9,708","343,280","13,083","7,369","56,441","8,615","3,732","2,738","11,403",359,"7,413","1,356","2,487","12,837","13,764","3,147","9,952","2,386","1,512","1,534","6,745","4,306",0,807,"3,477","3,380","10,880","673,909","398,564",...,...,...,"5,033",...,"19,554","-52,692",...,...,...,...,...,...,...,...,...,...,...,...,"370,460","1,044,369"
525,"Funds, trusts, and other financial vehicles",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"4,758","10,344",...,...,...,...,...,...,94,...,...,...,...,...,...,...,...,...,...,...,...,...,99,...,672,...,"15,967","170,526",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"170,526","186,494"
HS,Housing,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,020,853",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,020,853","2,020,853"
ORE,Other real estate,"5,027",21,965,161,746,"7,482","13,281",592,955,436,"4,429","2,124","3,691",637,"1,737","1,612","1,093","1,509","4,226",444,124,"1,495","1,743",141,"3,968","2,358","74,330","17,886","21,785","15,886","93,412",222,150,784,"6,001","1,932",162,"6,762","8,687","6,943","3,540","21,068","8,741","26,929","21,962","20,541",692,"11,081","171,613","8,703","22,404","8,459","54,382","32,165","30,411","2,510","32,087","50,294","62,547","27,230","18,866","11,534","16,418","2,388","48,887","51,320",224,"9,970",493,"23,051","2,613","1,119,061","5,861","33,104",...,...,"129,878",...,"3,274",...,...,...,...,...,...,...,...,...,...,...,...,...,"172,117","1,291,178"
532RL,Rental and leasing services and lessors of intangible assets,"2,730",108,"2,346","2,154","4,329","2,828","23,803",217,670,541,"1,560","1,183",514,328,"5,215","1,025",232,661,"2,662",68,"1,553",761,454,958,"3,169",792,"22,660",926,970,"2,661","5,868","12,575","5,880","6,411","8,764",921,57,"3,506","5,865","1,731",930,"9,476","7,088","4,543","4,646","3,653",41,"4,435","2,124","9,677","2,020","2,750","13,857","15,608","7,876","2,400","1,668","3,906","3,981",590,553,"1,686","2,017","1,784","7,494","2,514",218,247,216,"6,388",549,"264,592","97,091",...,...,...,...,...,"80,045",...,...,...,...,...,...,...,...,...,...,...,...,...,"177,136","441,728"
5411,Legal services,380,102,582,445,408,"7,529","5,690",347,452,415,"1,746","1,651","4,131",279,"2,075","1,775",297,"1,588","1,234",123,67,725,320,495,"4,132","1,066","17,274",668,674,679,"4,310",612,907,153,217,204,48,639,328,"4,685",575,"3,711","4,704","6,574","10,536","13,116","2,781","1,986","13,358",764,"2,930","3,982","15,014","10,566","8,577",487,444,"5,817","15,327","1,627",570,"2,234","1,567","1,280","2,190","4,465",0,115,76,"11,431","1,192","217,452","104,093",...,...,...,"22,342",...,"14,209","-3,860",...,...,...,...,...,...,...,...,...,...,...,...,"136,783","354,236"
5415,Computer systems design and related services,482,33,"2,483",561,113,"2,467","4,908",218,335,283,"1,589","2,440",624,102,663,"3,953",294,494,"1,119",85,8,318,470,552,526,558,"19,647","4,489",857,"1,671","5,641",421,"1,221",16,572,168,4,226,302,"8,891",380,"4,850","9,804","14,189","9,208","6,917","1,638",875,"3,637",423,"4,342","5,947","9,527","2,167","14,653",447,"1,524","3,729","4,353",839,"1,188",386,930,990,"4,037","3,220","3,977","11,359",105,"27,195","4,779","227,420",...,...,"37,753","224,926",...,...,"30,501","-34,142",...,...,"3,669","7,374",...,...,...,"21,084",...,...,"2,338","8,235","301,738","529,158"
5412OP,"Miscellaneous professional, scientific, and technical services","2,342",561,"1,839","1,519","1,905","16,495","46,700","1,310","2,131","2,195","4,835","4,802","6,071","1,455","4,510","4,585","2,049","3,836","11,989",575,148,"2,394","1,546","2,293","9,720","4,037","120,853","23,365","8,953","4,990","53,787","1,934","1,974","1,404","3,156","1,596",592,"2,465","2,144","21,722","5,902","43,228","31,695","62,402","36,844","32,733","4,024","2,743","51,754","7,729","10,951","26,721","123,869","41,887","44,471","2,609","6,758","27,763","33,594","8,392","4,484","7,976","7,078","9,192","22,327","26,383","35,068","9,685","1,336","61,591","19,246","1,201,215","72,410",...,"51,774","438,643","3,058",...,"152,526","-91,260",...,...,...,"50,501",...,...,...,"80,601",...,...,...,"21,404","779,655","1,980,870"
55,Management of companies and enterprises,...,...,"13,607","4,998","4,734",62,"9,581",353,"2,247","1,057","4,630","15,461","5,557","2,231","7,369","5,468",481,"4,013","22,454",666,207,"2,348",477,"3,602","21,755","1,785","88,091","1,930","4,364","11,001","26,284","3,077",7,"1,539","4,373",150,2,"6,297","1,672","4,113",293,"3,411","2,693","9,481","10,650","6,642","1,316",88,"7,069","9,303","5,228","4,700","15,140",53,"22,696","3,018","7,440","51,395","10,607","6,405","4,919","2,485","2,083","19,069","45,726","7,540",0,...,81,4,...,"547,574",...,...,...,...,...,...,"4,296",...,...,...,...,...,...,...,...,...,...,...,...,...,"4,296","551,870"
561,Administrative and support services,597,45,314,631,"2,102","14,922","7,974",627,"1,079","3,228","9,198","3,493","2,872",489,"3,286","8,324",396,"1,842","4,219",249,275,"1,690","3,028","2,125","4,802","2,010","68,822","6,938","3,029","5,392","19,550","4,302",806,"5,691","10,204","6,213",833,"9,509","5,733","18,510","1,488","37,265","16,961","24,326","12,846","10,211",214,"3,452","97,825","20,446","9,892","31,339","53,452","16,555","68,427","4,622","4,791","26,210","37,360","8,435","3,276","5,668","3,160","5,220","10,423","15,542","5,828","9,796",576,"37,204","6,956","835,118","64,490",...,...,...,...,...,"2,433","-1,938",...,...,...,...,...,...,...,...,...,...,...,...,"64,985","900,103"
562,Waste management and remediation services,295,5,330,100,149,569,"2,074",109,249,269,365,279,153,59,215,269,103,141,"1,202",66,1,295,94,495,"1,915",316,"2,891","1,024",484,297,"1,442",63,142,10,782,34,15,265,277,76,54,119,86,714,141,"1,988",845,3,"30,034",646,309,307,"1,888",859,"1,880","11,003",303,"1,492","1,713",802,554,124,474,"1,130","2,078","1,533",92,"1,299",245,"20,795","3,469","104,899","28,334",...,...,...,...,...,156,-234,...,...,...,...,...,...,...,...,...,...,...,...,"28,257","133,156"
61,Educational services,2,0,...,...,...,157,5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,25,5,...,1,"1,869",74,481,...,"2,888",176,12,...,...,...,2,38,...,0,...,22,111,26,5,...,...,...,...,...,...,111,42,...,286,...,"2,073",0,3,...,...,"2,013",200,...,...,"1,766",0,15,61,"7,486",7,"19,961","360,205",...,...,...,...,...,"2,580","-1,731",...,...,...,...,...,...,...,...,...,...,...,...,"361,054","381,015"
621,Ambulatory health care services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,66,...,66,...,...,"14,285","8,686",60,1,94,2,...,...,51,...,994,...,"8,832",...,"33,137","1,050,872",...,...,...,...,...,785,-102,...,...,...,...,...,...,...,...,...,...,...,...,"1,051,555","1,084,692"
622,Hospitals,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"16,228",...,...,...,...,...,...,...,...,...,...,...,...,"16,228","1,039,196",...,...,...,...,...,"2,815","-4,439",...,...,...,...,...,...,...,...,...,...,...,...,"1,037,573","1,053,801"
623,Nursing and residential care facilities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,568",...,899,...,"2,467","241,619",...,...,...,...,...,200,-29,...,...,...,...,...,...,...,...,...,...,...,...,"241,790","244,257"
624,Social assistance,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,409",...,"1,409","225,279",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"225,279","226,688"
711AS,"Performing arts, spectator sports, museums, and related activities",84,0,0,...,23,205,174,19,30,35,64,50,7,4,34,19,18,29,91,5,0,31,32,32,37,93,"3,017",405,376,68,499,...,141,...,49,17,...,234,6,202,"6,751","29,597",380,"2,198",577,200,341,1,"5,133",270,595,951,"3,864","3,925","1,891",88,"1,293",757,790,161,278,"20,733",581,247,"2,717","1,627",0,14,24,"1,217",34,"93,362","86,972",...,...,"5,477",...,...,"1,546","-1,325",...,...,...,...,...,...,...,...,...,...,...,...,"92,671","186,034"
713,"Amusements, gambling, and recreation industries",20,0,...,0,12,47,85,4,10,6,16,11,2,1,8,5,5,8,17,0,0,6,8,4,10,15,432,7,28,2,295,0,0,...,...,...,...,5,1,26,7,40,110,364,133,29,29,1,...,50,83,254,332,776,403,22,50,219,10,21,46,139,205,316,699,47,2,2,0,517,89,"6,091","210,212",...,...,...,...,...,4,0,...,...,...,...,...,...,...,...,...,...,...,...,"210,216","216,307"
721,Accommodation,1,...,1,8,201,"1,220",412,74,160,116,308,236,45,24,165,88,97,161,327,16,2,108,191,76,202,329,"3,500",42,57,52,247,...,14,...,...,0,3,333,15,549,172,848,"2,311","7,624","2,829",592,614,21,"13,791","1,170","1,384","5,405","6,664",942,"5,457",534,810,"3,048",212,260,151,125,217,502,"2,169",832,"1,434",900,48,"2,999",171,"73,618","163,295",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"163,295","236,913"
722,Food services and drinking places,443,8,8,30,391,"2,419",500,108,202,174,366,308,51,48,204,122,113,183,493,34,6,159,174,167,246,366,"8,641",952,806,"1,087","3,561","7,303",3,17,810,141,17,"1,308",303,492,249,816,"2,073","11,209","2,879","3,395","1,464",17,"39,555","2,942","2,520","7,201","16,667","4,646","10,612",502,"1,731","20,754","12,962","6,768","2,264",513,"1,214","7,824","5,613","2,284",519,288,236,"8,941",566,"211,991","731,851",...,...,...,...,...,"2,708",...,...,...,...,...,...,...,...,...,...,...,...,...,"734,558","946,550"
81,"Other services, except government",345,45,49,109,495,"1,558","5,855",361,959,"1,001","1,577","1,039",569,142,840,586,153,416,"1,742",98,6,"1,009",341,620,"2,115",819,"17,915","2,274","2,042","2,060","5,903",410,105,405,"6,439","1,297",149,"2,277",908,"1,494",299,"3,509","2,175","6,724","3,671","6,085",249,"18,614","6,378","9,768","1,192","2,278","7,902","6,068","12,548","4,428","2,308","6,006","11,600","1,482",706,786,"1,302","2,169","8,495","6,405","8,035","8,410",540,"20,379","2,362","239,398","613,310",...,...,...,...,...,75,"-4,786",...,...,...,...,...,...,...,...,...,...,...,...,"608,598","847,996"
GFGD,Federal general government (defense),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"599,358",...,...,...,...,...,...,...,...,...,...,...,"599,358","599,358"
GFGN,Federal general government (nondefense),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"379,143",...,...,...,...,...,...,...,"379,143","379,143"
GFE,Federal government enterprises,11,4,...,3,...,312,9,...,...,33,120,291,87,149,...,...,...,17,...,1,...,...,55,43,62,...,"21,017",976,653,368,"4,470",3,...,"2,480","3,029",342,29,771,691,545,193,210,"1,217","1,782","2,778",105,...,0,618,"1,335",367,521,"2,168",242,"1,099",130,570,"1,018","2,225",254,577,153,80,755,"5,432",739,1,107,81,"2,028",106,"63,462","6,914",...,...,...,...,...,710,-289,...,...,...,...,...,...,...,...,...,...,...,...,"7,335","70,797"
GSLG,State and local general government,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,737,213",...,...,...,"1,737,213","1,737,213"
GSLE,State and local government enterprises,...,1,...,...,...,377,...,60,164,179,252,200,100,39,152,199,47,97,853,50,2,204,58,347,"1,410",194,"1,708",607,344,190,945,4,...,...,420,6,7,116,185,69,50,97,89,659,190,99,...,...,"2,086","1,092",558,270,"1,016",580,"1,286",702,133,702,758,497,377,93,208,804,"1,437","1,139","1,280",740,258,"6,378","1,388","34,550","72,509",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"72,509","107,059"
Used,"Scrap, used and secondhand goods",-18,229,...,...,"1,292","8,024","3,190",...,169,"43,646","1,107",14,...,...,...,...,...,139,3,35,...,"3,980",...,...,78,96,...,54,...,...,275,13,...,-183,"1,024",6,159,"6,106",0,...,182,1,...,...,...,...,...,...,...,16,...,...,...,739,...,...,851,0,...,...,...,-100,"1,113",...,...,"10,744",-43,...,...,...,...,"82,941","209,786","-2,586","-106,707",...,"1,883","4,141","35,225","-14,075",...,-4,0,...,...,"-2,683",-4,...,...,"3,909","-14,497",...,"114,387","197,328"
Other,Noncomparable imports and rest-of-the-world adjustment [1],"1,086",48,512,18,417,"1,900","1,780",192,268,642,771,"1,582","1,531",369,"1,464","1,124",172,554,"2,150",106,15,611,302,"5,681","2,560",726,"8,244",120,512,"1,016","3,308","15,226",138,"1,681",947,15,47,548,108,893,318,"7,407",776,"4,292","32,829","1,378",249,98,"1,316","1,555",278,"2,534","3,262","2,114","1,392",108,535,...,...,294,...,342,234,666,"1,942","4,627","11,756","2,797",8,...,...,"142,489","-90,776",...,...,"7,711",...,...,"204,439","-260,394",...,...,...,...,...,...,...,...,...,...,...,...,"-139,021","3,468"
,Total Intermediate,"256,796","15,275","92,883","49,586","53,003","160,408","737,746","72,767","68,832","163,109","201,509","230,625","105,563","66,627","438,047","184,654","47,384","72,242","677,856","32,418","6,262","129,401","43,321","428,137","437,567","160,560","877,731","119,953","87,171","81,822","379,075","107,619","35,235","41,020","189,187","34,893","7,067","113,710","62,718","149,274","53,011","399,926","151,072","409,057","265,890","474,251","150,527","238,324","747,583","136,465","88,283","149,658","505,459","198,490","389,872","62,457","111,882","362,683","360,018","96,517","96,307","72,195","66,547","106,617","376,432","275,716","218,671","108,827","30,505","724,012","209,724","14,856,027",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
V001,Compensation of employees,"30,860","25,331","29,293","17,623","29,965","81,578","520,422","22,261","29,470","31,764","99,341","94,780","150,705","36,458","75,338","78,965","21,959","53,804","113,482","12,300","7,885","30,386","26,233","19,430","101,682","47,155","532,941","118,071","96,461","93,086","299,250","57,095","21,893","7,144","96,307","21,954","7,617","86,152","53,892","100,191","35,436","112,173","100,973","263,353","251,232","271,004","2,059","18,920","93,508","36,227","131,525","264,757","594,263","324,518","409,331","30,195","192,422","545,209","396,274","131,540","114,086","59,516","54,197","82,723","298,036","305,492","246,097","184,220","59,219","1,338,917","107,032","10,434,980",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
V002,"Taxes on production and imports, less subsidies",-707,"1,669","31,625","5,162","2,241","61,770","10,115",771,"1,560","2,551","3,507","3,678","8,381",969,"3,691","2,741",418,"1,790","30,042",584,296,"1,823",776,"3,995","18,696","1,980","223,367","49,054","25,475","40,483","117,408","25,242",-40,985,"4,500","1,878","3,333","2,508",904,"5,989","6,360","41,093","5,126","19,425","5,584","30,583",739,"235,356","27,597","21,036","16,636","6,687","14,793","9,157","10,235","3,647","9,236","9,567","13,830","6,401","2,102","8,620","13,530","30,540","56,592","23,688",...,...,"-6,339",...,"-18,934","1,304,098",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
V003,Gross operating surplus,"108,581","11,108","100,192","29,480","21,720","170,362","309,683","12,656","27,458","25,463","41,922","49,184","89,654","20,200","80,095","69,205","6,521","31,013","131,740","4,401","1,268","23,688","13,598","87,231","224,706","28,068","419,837","68,657","40,131","18,546","212,301","46,346","22,481","5,828","77,160","19,576","30,054","36,336","6,319","129,835","55,929","308,850","108,063","366,083","26,611","267,302","4,036","1,541,039","396,339","154,996","118,269","54,929","258,783","36,459","130,141","19,317","43,929","154,882","76,051","9,426","11,965","58,667","19,224","63,036","86,471","103,985","159,521","112,305","11,427","205,956","56,427","7,873,026",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Total Value Added,"138,733","38,107","161,111","52,266","53,926","313,711","840,220","35,688","58,488","59,778","144,770","147,642","248,740","57,627","159,124","150,911","28,897","86,607","275,264","17,286","9,449","55,897","40,608","110,656","345,084","77,203","1,176,146","235,782","162,067","152,115","628,959","128,682","44,334","13,957","177,967","43,408","41,004","124,996","61,116","236,015","97,725","462,117","214,162","648,860","283,427","568,888","6,835","1,795,315","517,444","212,259","266,430","326,373","867,839","370,134","549,708","53,159","245,588","709,658","486,155","147,368","128,153","126,803","86,951","176,299","441,100","433,165","405,619","296,526","64,306","1,544,873","144,525",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"19,612,103",...
