,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
331,Primary metals,83,...,"3,008",579,558,5,"5,659",236,"1,562","68,668","77,294","42,241","6,111","16,101","45,771","12,676","3,693","5,184","2,255",87,...,"1,043",16,16,63,"2,007",524,7,...,0,310,...,722,...,...,...,...,268,...,23,6,485,330,...,...,...,...,1,"2,775",72,...,0,"1,412",45,539,376,160,195,20,15,265,23,360,33,113,820,150,560,...,89,603,"306,216","1,415",...,...,...,...,"2,025","33,297","-80,040",...,...,...,...,...,...,...,...,...,...,...,...,"-43,303","262,912"
332,Fabricated metal products,"2,031",206,"6,105","1,109","1,355","1,094","117,559","2,984","1,879","4,433","42,004","30,704","9,057","10,335","28,729","17,653","5,170","5,159","16,540",411,28,"6,505",948,"1,290","10,392","8,878","2,955",449,257,185,"2,011",221,467,"2,560","1,958",393,"1,840",741,898,"1,167",28,"12,715","1,605",407,178,...,40,30,"2,881","1,631",32,"2,985","5,736",600,"2,759","3,842",491,409,"1,502",33,"2,830",48,618,"1,628","3,414","6,803","7,334","1,422",224,"5,064","6,058","422,010","44,258",...,"17,216",...,...,"2,032","40,786","-65,307",...,...,746,...,...,...,"1,471",...,...,...,344,...,"41,545","463,555"
333,Machinery,"2,302",86,"6,525","4,817","6,969","1,611","49,928",486,137,"1,664","6,581","40,031",516,"1,908","31,908","5,738",117,"1,202","4,299",26,2,787,"1,634",79,"4,874","2,123","2,622",310,154,159,820,13,41,93,622,73,77,"3,897","1,793",130,51,"1,666",663,9,46,627,...,131,134,981,30,"2,359","2,801",308,"3,753","5,080","2,608",828,739,180,176,34,197,100,765,"7,858",847,246,132,"5,322","2,387","228,216","28,856",...,"313,580",...,...,"4,386","124,456","-158,987",...,...,"2,572",...,...,...,646,...,...,...,"16,604",...,"332,112","560,328"
334,Computer and electronic products,81,1,42,36,232,150,"9,428","1,079",630,"1,280","5,666","7,737","43,589","3,906","15,213","23,875","1,014","2,244","3,034",303,21,"1,040","1,062",357,"5,656","2,325","39,928","1,071",448,642,"1,769",4,105,1,274,4,8,146,165,"3,247",522,"18,806","6,315",913,"1,092",62,"1,769",2,"1,016",182,"1,589","6,663","10,311","7,525","6,803",973,"1,262","10,096",695,162,756,30,158,438,190,"4,074","21,362","3,302",0,"2,713","2,123","289,720","152,826",...,"277,315",...,354,"4,145","120,954","-330,598",...,...,"31,340",...,...,...,"13,408",...,...,...,"17,004",...,"286,747","576,467"
335,"Electrical equipment, appliances, and components","2,039",112,114,61,540,23,"53,292",427,95,"1,163","2,786","15,117","3,408","10,839","6,874","2,579",123,956,"1,409",37,1,480,82,134,"1,110","1,007",501,419,122,894,401,1,316,21,155,179,3,126,235,5,...,"5,005",284,257,80,24,...,8,"2,362",273,1,"3,564","6,162",112,"2,258","1,314",698,18,983,"1,010",629,59,422,"1,216",483,"5,120","2,414","3,398",49,"1,783","4,119","152,289","83,750",...,"39,678",...,"11,318","1,815","38,026","-100,587",...,...,"1,355",...,...,...,706,...,...,...,"1,440",...,"77,501","229,790"
3361MV,"Motor vehicles, bodies and trailers, and parts","1,157",135,857,"1,306",806,52,"3,234","2,290",747,758,"2,031","16,045","1,236",890,"204,391","5,482",643,"1,113","6,944",93,1,"1,836",227,232,"2,054",819,"10,899","9,058","2,952",720,"7,217",...,97,...,"10,820",913,1,301,"2,510",460,112,"1,712",253,189,26,...,...,...,...,"2,422",...,158,"4,708",743,"16,438","1,941",653,788,"1,768",158,"3,257",148,151,261,"1,291","23,355","7,413",144,"4,532","9,605","1,618","385,165","350,153",...,"323,939",...,...,"11,620","120,041","-325,878",...,...,967,...,...,...,514,...,...,...,"14,160",...,"495,516","880,681"
3364OT,Other transportation equipment,...,6,...,5,...,...,64,11,...,...,53,107,...,...,464,"64,790",...,...,...,...,...,...,...,...,...,...,0,59,...,...,...,"1,709","1,143","2,000",13,61,...,"2,604",...,...,...,5,...,...,...,...,...,...,...,...,...,...,"1,952",64,32,50,...,...,...,...,0,...,28,...,...,270,"48,513",204,3,0,62,"124,271","37,019",...,"76,831",...,...,"-4,875","122,516","-49,236",...,...,"36,365",...,...,...,"1,958",...,...,...,568,...,"221,146","345,416"
337,Furniture and related products,0,...,...,...,...,...,"27,064",724,1,...,...,356,113,1,35,460,"4,666",224,...,...,...,0,...,...,...,378,874,205,...,20,"1,670",...,...,0,...,...,...,0,...,1,...,178,325,...,...,...,...,"7,659",106,...,13,4,650,7,3,...,...,278,108,1,184,619,730,2,296,730,...,...,143,15,412,"49,255","110,214",...,"43,172",...,828,662,"4,811","-43,532",...,...,2,...,...,...,154,...,...,...,"3,964",...,"120,274","169,529"
339,Miscellaneous manufacturing,135,1,21,34,29,...,"2,009",30,132,30,74,"2,879",3,668,"2,827",193,17,"10,144",56,11,104,0,5,4,520,146,"1,066",845,152,10,"2,222",0,1,...,10,29,1,218,175,7,2,229,98,148,27,12,...,0,397,65,17,54,"2,391",17,"2,361",327,469,"27,538","35,771","1,031","1,908",132,375,77,859,"2,504","1,123",566,...,"7,054",44,"110,406","245,077",...,"66,555",...,...,295,"45,191","-94,941",...,...,250,...,...,...,156,...,...,...,"2,239",...,"264,821","375,227"
311FT,Food and beverage and tobacco products,"40,169",267,...,...,...,...,...,26,610,7,...,...,...,...,...,...,...,6,"209,571",36,232,503,321,554,"6,195",233,"3,088",1,"2,836","1,140","2,260",849,2,549,43,0,...,14,...,56,23,...,89,...,...,...,...,...,...,...,...,...,"7,950",140,0,...,"9,292",5,"8,019","6,718","15,208","1,435","7,982","10,010","101,708","2,653","4,599",81,"1,328","56,126",...,"502,932","1,083,133",...,...,...,...,"8,147","76,671","-92,537",...,...,...,...,...,...,...,...,...,...,...,...,"1,075,414","1,578,347"
