"The Use of Commodities by Industries, Before Redefinitions (Purchasers' Prices) - Summary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
111CA,Farms,"78,092",880,...,36,22,...,"1,812",...,...,...,...,...,...,...,...,...,...,351,"289,404","3,010",...,...,...,...,"30,950",...,"2,407",498,"1,460",279,525,...,...,...,...,...,...,99,...,...,...,...,...,1,...,...,...,0,6,...,4,2,"1,677",58,"1,552",...,198,...,...,...,...,...,440,58,"3,007",53,13,-168,...,"4,097",...,"420,822","120,383",...,...,...,...,"-17,848","65,403","-32,285",...,...,...,...,...,...,...,...,...,...,...,...,"135,652","556,474"
113FF,"Forestry, fishing, and related activities","23,196","5,641",...,133,...,...,...,"11,678",1,...,...,...,...,...,...,...,134,468,"8,402",...,80,"3,747",45,...,639,"3,074",...,...,803,...,4,...,...,...,...,...,...,4,...,...,...,...,...,...,...,...,...,...,...,...,...,...,263,11,1,...,73,...,...,...,...,...,174,442,"3,079",86,...,83,10,"3,367",...,"65,638","7,301",...,...,...,...,875,"7,501","-16,124",...,...,...,...,...,...,...,...,...,...,...,...,-447,"65,192"
211,Oil and gas extraction,...,...,"33,628",22,4,"32,031",...,2,0,7,1,...,...,...,0,...,...,...,1,...,...,4,0,"570,546","8,047",2,35,4,6,3,14,...,...,...,...,...,70,...,5,5,1,2,8,...,...,...,...,...,494,...,...,0,17,39,1,6,316,9,52,8,5,2,10,20,54,24,...,242,"2,661",...,"22,522","670,929",...,...,...,...,...,"3,023","10,403","-335,111",...,...,...,...,...,...,...,...,...,...,...,...,"-321,684","349,244"
212,"Mining, except oil and gas","2,837",2,215,"9,447",104,"15,392","13,961",13,"11,081","17,627",802,252,11,131,94,139,19,169,"1,820",149,...,"2,469",...,"4,125","9,554",204,32,...,...,...,4,...,145,0,6,1,...,3,4,69,33,289,400,...,...,...,...,3,...,...,...,...,"1,115",65,456,91,326,...,88,35,15,220,622,97,563,"1,126",...,"3,619",...,"2,094","7,834","109,975",462,...,454,...,...,"1,436","34,399","-6,497",...,...,...,...,...,...,...,...,...,...,...,...,"30,254","140,229"
213,Support activities for mining,...,...,"12,444","2,038","1,345",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,37,2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"15,866",...,"152,911","3,778",...,...,11,"3,416",-992,...,...,...,...,...,...,...,...,...,...,...,...,"159,124","174,990"
22,Utilities,"4,509",117,"5,012","4,060",244,"25,121","4,090","2,116","3,764","10,337","4,418","2,211","1,568","1,020","3,017","1,357",653,"1,034","8,382","1,395",63,"6,719","1,345","7,126","15,547","5,448","15,963","2,162","8,185","5,002","13,219",110,95,95,"1,192",71,"1,196",825,"12,706","1,059",373,"4,033","1,218","2,473","1,221",382,"2,102",277,"55,276","1,926",608,311,"4,335","8,020","2,199",517,"6,978","3,363","9,114","2,437","1,228",628,"2,345","5,972","18,881","5,197","2,286","1,358","1,310","17,068","2,660","348,649","242,449",...,...,...,...,...,"3,488","-2,099",...,...,...,...,...,...,...,...,...,...,...,...,"243,838","592,487"
23,Construction,"1,664",40,"1,415","2,918","2,544","7,507",222,231,386,956,707,543,244,157,490,207,120,187,"1,042",84,9,678,249,"7,451","1,738",579,"2,223",370,519,523,"2,049",351,"2,114",60,313,206,"1,037","1,599",916,115,38,"2,323",136,"3,514","1,345",416,434,"64,235","48,486",258,128,34,736,505,370,38,714,407,809,269,255,160,383,810,"1,581","3,487","6,425","1,926",638,"27,157","42,348","255,130",...,"312,974",...,...,"313,747",...,99,...,...,"8,107",...,...,...,"14,843",...,...,...,"261,830",...,...,"911,600","1,166,730"
321,Wood products,285,55,...,65,199,0,"37,950","18,789",245,322,137,"1,005",395,259,"3,579",350,"6,249",965,369,45,0,"5,071",2,...,262,"1,119","2,700",58,472,96,772,...,"1,701",...,72,...,16,100,142,124,106,818,"1,086",95,5,...,...,9,"6,354",313,19,26,641,3,491,23,33,250,302,6,"1,445",4,131,445,600,312,22,70,3,"3,248",191,"101,021","9,384",321,...,...,"4,604",941,"5,872","-13,620",...,...,...,...,...,...,112,...,...,...,...,...,"7,614","108,634"
327,Nonmetallic mineral products,6,75,826,459,732,46,"60,888",659,"13,148","3,630","1,512","2,622",387,"2,103","8,099",391,403,"1,042","6,657",37,...,699,1,"1,683","1,950","1,633",436,137,73,333,749,...,11,...,26,0,3,67,111,9,3,"2,699",908,61,37,7,...,11,135,495,8,92,"3,556",103,"1,262",98,93,"2,266","2,415",247,268,11,123,95,"1,844","1,373",29,668,...,"2,000","2,379","134,931","18,163",...,...,...,...,"1,161","11,040","-20,384",...,...,...,...,...,...,...,...,...,...,...,...,"9,980","144,911"
