"The Use of Commodities by Industries, Before Redefinitions (Purchasers' Prices) - Summary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
331,Primary metals,104,...,"4,902",744,571,4,"5,044",216,"1,127","90,888","83,314","53,518","5,564","19,103","43,637","11,993","3,473","5,719","2,258",293,...,887,22,14,53,"1,896","1,423",6,...,0,596,...,"1,144",...,...,...,...,470,...,35,11,324,303,...,...,...,...,0,"1,951",83,...,43,"1,778",38,537,395,157,235,132,26,390,22,343,18,98,997,86,394,...,333,476,"348,185",803,...,...,...,...,"4,237","40,314","-84,060",...,...,...,...,...,...,...,...,...,...,...,...,"-38,706","309,479"
332,Fabricated metal products,"1,764",201,"6,608","1,481","1,165",456,"86,518","2,645","1,958","6,102","44,216","36,157","8,647","10,581","28,438","15,932","5,199","4,912","17,867",464,38,"7,365",977,811,"11,650","7,953","3,015",339,211,190,"1,799",162,399,"2,313",951,126,761,"1,108",799,"1,734",24,"13,910","1,785",182,155,...,24,12,"1,919","1,468",43,"2,058","6,581",787,"2,632","2,797",407,548,762,30,"2,005",58,"1,031",955,"2,250","5,773","5,987","2,291","1,056","4,493","4,074","390,110","34,279",...,"15,882",...,...,"5,064","40,202","-57,624",...,...,"2,636",...,...,...,"1,598",...,...,...,836,...,"42,874","432,983"
333,Machinery,"3,365",225,"7,773","4,099","5,018","1,377","32,709",389,124,"1,766","5,480","43,711",364,"2,002","32,087","4,498",102,"1,951","3,620",25,9,"1,216","1,210",73,"4,532","1,781","3,818",206,121,228,704,8,289,54,245,98,195,"3,064","1,786",216,67,"2,022",796,46,61,13,...,10,91,"1,746",39,"1,222","3,127",172,"3,146","3,700","1,628",500,556,216,160,25,102,95,540,"8,268","1,116",330,25,"4,108","1,388","205,856","16,329",...,"313,691",...,...,"8,177","151,489","-143,189",...,...,"1,862",...,...,...,518,...,...,...,"6,215",...,"355,093","560,949"
334,Computer and electronic products,63,1,54,45,357,96,"7,763",851,492,"1,666","5,399","8,611","43,051","3,765","16,730","18,462",911,"1,946","3,699",305,12,724,719,303,"4,223","1,868","12,058",379,263,317,"3,082",3,130,3,140,2,19,131,197,"2,497",560,"20,238","4,498",515,680,24,600,0,304,133,"1,615","6,835","7,219","8,248","3,280",875,863,"7,052",672,279,318,13,88,210,90,"6,065","17,597","4,795",1,"1,639","1,809","238,449","146,676",...,"243,676",...,420,"2,538","128,997","-297,795",...,...,"34,644",...,...,...,"10,465",...,...,...,"17,540",...,"287,161","525,609"
335,"Electrical equipment, appliances, and components",563,149,150,49,283,19,"36,438",271,70,"2,033","3,011","14,477","3,282","10,759","6,410","2,367",100,878,"1,237",34,1,479,67,81,"1,009",794,564,103,36,19,270,3,153,38,52,72,5,29,316,1,...,"5,163",394,106,47,7,...,2,506,452,2,"1,960","5,443",95,"2,528",586,313,34,490,524,367,31,241,495,517,"2,401","1,018","3,147",58,"2,054","2,594","118,248","73,133",...,"33,572",...,"7,916","2,272","38,083","-79,271",...,...,"1,064",...,...,...,"1,141",...,...,...,"1,050",...,"78,960","197,208"
3361MV,"Motor vehicles, bodies and trailers, and parts",697,94,913,"1,151",650,39,"3,101","1,429",462,897,"1,616","18,468","1,143",741,"176,781","3,458",479,855,"5,633",77,0,"1,441",171,142,"1,744",567,"6,205","10,439","1,137",469,"3,100",...,48,...,"4,203",128,2,143,"2,544",838,62,"1,191",148,40,14,...,...,...,...,"1,578",...,37,"2,807",480,"5,766","1,111",272,342,545,85,"1,647",23,58,130,416,"22,048","4,421",119,"3,151","4,731","1,266","304,492","275,411",...,"228,503",...,...,"20,380","111,649","-266,095",...,...,"1,710",...,...,...,"1,015",...,...,...,"16,504",...,"389,077","693,569"
3364OT,Other transportation equipment,...,86,...,8,...,...,29,42,...,...,49,219,...,...,473,"64,076",...,...,...,...,...,...,...,...,...,...,5,25,...,...,...,883,"1,221","1,341",4,7,...,"1,062",...,...,...,3,...,...,...,...,...,...,...,...,...,...,238,5,25,23,...,...,...,...,4,...,8,...,...,97,"26,670","1,580",2,0,45,"98,226","26,511",...,"57,576",...,...,"6,921","103,971","-46,011",...,...,"41,102",...,...,...,"3,532",...,...,...,"1,277",...,"194,878","293,104"
337,Furniture and related products,0,...,...,...,...,...,"15,737",261,0,...,...,410,140,1,31,182,"3,675",262,...,...,...,0,...,...,...,283,432,152,...,23,"1,056",...,...,3,...,...,...,13,...,0,...,198,391,...,...,...,...,"4,693",23,...,6,1,215,5,2,...,...,400,57,1,110,178,472,4,231,209,...,...,"2,981",12,"1,001","33,852","89,406",...,"33,544",...,603,996,"5,018","-30,020",...,...,1,...,...,...,56,...,...,...,"2,108",...,"101,713","135,565"
339,Miscellaneous manufacturing,154,2,29,38,28,...,"1,012",21,141,58,76,"3,328",3,725,"2,713",101,12,"9,373",39,14,181,1,6,2,822,124,"1,637",81,108,8,"1,641",0,1,...,6,13,2,278,196,11,4,193,124,207,82,11,...,0,259,90,84,64,"1,668",15,"2,002",519,439,"22,384","23,352","1,357","1,687",132,578,54,637,"2,405",246,493,...,"6,809",53,"88,932","221,220",...,"59,082",...,...,"3,320","44,825","-79,712",...,...,145,...,...,...,272,...,...,...,856,...,"250,008","338,940"
311FT,Food and beverage and tobacco products,"44,910",755,...,...,...,...,...,32,443,12,...,...,...,...,...,...,...,10,"218,529",37,"1,048",584,745,801,"10,208",203,"2,252",10,"4,546","1,393","2,373",881,1,442,26,0,...,59,...,96,15,...,68,...,...,...,...,...,...,...,...,...,"5,829",150,0,...,"8,042",29,"10,616","7,623","9,743",951,"7,444","8,782","70,996","1,388","4,450",198,931,"57,858",...,"485,509","905,034",...,...,...,...,"6,050","77,067","-80,395",...,...,...,...,...,...,...,...,...,...,...,...,"907,756","1,393,265"
313TT,Textile mills and textile product mills,369,149,...,2,...,...,"1,916",430,317,...,2,759,1,0,"3,549","1,484","3,229","2,134",161,"10,171","1,924","4,618",270,35,4,"3,263","1,920",66,195,"2,914","2,395",...,...,410,12,...,6,131,13,5,124,16,11,...,...,...,...,0,70,294,...,...,319,8,131,102,41,40,617,"1,732",728,0,511,"1,410",253,"1,650","1,390",515,3,"2,125",16,"54,963","61,727",...,"5,231",...,"1,364",886,"11,554","-27,520",...,...,...,...,...,...,67,...,...,...,23,...,"53,333","108,295"
315AL,Apparel and leather and allied products,21,...,...,...,...,1,...,...,1,...,...,...,...,...,"2,950",...,...,161,26,462,"3,167",...,"2,113",17,...,2,"1,140",192,15,596,755,...,...,...,...,...,...,...,...,68,11,"1,125",1,...,...,...,...,...,...,88,...,...,106,16,415,215,79,262,311,...,"1,667",75,20,11,86,831,163,36,67,"3,703",61,"21,037","358,655",...,...,...,...,575,"6,860","-134,840",...,...,...,...,...,...,...,...,...,...,...,...,"231,251","252,287"
322,Paper products,365,0,61,183,76,36,"2,285",813,"1,662","1,855","1,991","2,477",794,"1,410","4,574",643,"1,397","2,100","22,771",407,10,"51,968","12,522",329,"7,110","5,545","6,490",86,"1,364",350,"1,666",19,102,15,139,"1,431",120,"4,101",353,"3,229",101,575,237,"1,370",399,116,4,0,882,884,548,431,"3,227","1,202","4,192",296,268,"1,755","1,888",758,856,64,175,"2,295","3,102","1,271",181,"2,669",57,"13,769",39,"186,458","49,996",...,...,...,...,791,"24,865","-21,433",...,...,...,...,...,...,...,...,...,...,...,...,"54,218","240,676"
323,Printing and related support activities,29,...,11,5,...,4,33,5,...,...,30,11,...,4,6,...,...,...,85,...,8,...,"1,642",3,435,...,"10,497",108,256,188,"3,002",6,28,...,186,33,15,407,24,"7,181",614,664,"4,556",999,"1,703","1,205",...,...,73,550,"1,023",278,"5,233","1,039","2,876",17,"1,045","2,251","2,384",192,"1,873",781,193,747,662,"1,522",996,"2,584",21,"11,134",402,"71,855","12,186",...,...,...,...,-80,"2,587","-2,461",...,...,...,...,...,...,...,...,...,...,...,...,"12,232","84,088"
324,Petroleum and coal products,"11,315","1,005","8,172","10,261","5,386","27,797","59,401","1,259","1,224","4,326","1,267","1,200",288,"1,221",777,233,443,"1,673","4,441",200,14,"2,339",860,"37,089","17,115","1,029","8,175",819,827,241,"2,479","42,296","10,175","9,085","70,694","3,165",107,"16,025",431,364,94,787,633,"8,653","3,773",19,"1,607",9,"6,208","3,696",58,872,"2,679","1,932","4,635","2,056","1,050","1,406","5,574","1,224",862,183,"1,121","1,398","3,945","4,637","28,982","1,856","4,633","110,105","24,873","594,780","421,843",...,...,...,...,"4,994","130,048","-100,229",...,...,...,...,...,...,...,...,...,...,...,...,"456,655","1,051,435"
325,Chemical products,"35,258","3,565","7,842","3,187","2,115","2,102","11,320","2,902","4,919","2,563","7,300","3,896","2,743","3,290","11,534","1,569","2,274","7,806","7,456","13,334",138,"12,158","5,268","25,908","277,734","69,621","3,777",80,47,73,952,1,310,11,201,5,6,176,760,"1,029",175,871,560,123,161,17,...,35,"12,891",128,418,238,"16,365","1,651","7,573","1,733",548,"29,819","18,454","3,098",535,142,531,65,489,"4,263","1,560","3,668",185,"30,238","3,470","675,234","459,438",...,"3,076",...,...,"2,717","181,942","-208,004",...,...,...,...,...,...,...,...,...,...,...,...,"439,169","1,114,403"
326,Plastics and rubber products,"1,400",113,85,"1,812",875,29,"31,759",907,"1,324",866,"2,608","14,759","2,812","2,847","23,047","4,325","4,486","6,114","20,857",430,45,"3,779","3,645",571,"14,345","21,704","12,260","1,898","1,969",341,"3,899",349,8,2,874,13,167,"4,165",499,616,113,"5,757",386,293,134,125,1,4,458,"2,126",221,"1,005","6,093",246,"2,052",402,616,"8,464","3,144","1,355","1,855",32,226,149,"6,218","6,566","2,304","1,248",21,"9,436","2,624","256,281","59,385",...,358,...,234,"2,793","29,407","-45,416",...,...,...,...,...,...,33,...,...,...,...,...,"46,795","303,075"
42,Wholesale trade,"1,435",24,109,82,...,"1,062",21,254,292,"1,283",864,"2,001",779,"1,734",521,64,377,"2,269","3,307",186,40,"1,417",122,90,"4,888","1,648","34,166",904,286,10,"6,277",52,...,...,39,...,2,...,...,599,27,"1,759",69,12,37,23,6,...,...,"7,095",...,128,...,...,29,68,12,279,111,...,...,...,99,...,19,32,...,...,1,37,...,"77,047",...,...,...,...,...,...,"1,862","33,503",...,...,...,...,...,...,...,...,...,...,...,...,"35,365","112,413"
4A0,Other retail,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,278,...,244,249,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,...,...,...,...,...,772,"3,568",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"3,568","4,340"
481,Air transportation,...,...,2,22,387,881,421,172,244,337,611,501,57,59,392,255,250,385,523,36,11,171,300,214,287,428,"5,814",66,34,63,131,170,24,98,"1,091",7,3,936,81,540,247,"1,147","1,792","3,789","3,722",672,556,7,"5,505","1,127","1,488","2,538","5,056",348,"4,302",493,743,"2,943",299,461,517,133,181,289,"1,107",631,"6,996","3,741",318,"3,358",75,"70,585","118,454",...,...,...,...,...,"47,334","-46,100",...,...,...,...,...,...,...,...,...,...,...,...,"119,689","190,273"
482,Rail transportation,...,...,...,...,...,131,1,...,...,...,...,...,...,...,...,...,...,1,...,...,...,...,1,...,...,...,69,2,9,...,20,...,52,...,"3,806",...,2,286,30,...,...,245,1,8,7,55,...,...,...,7,39,17,322,1,89,...,...,13,14,...,...,...,...,...,...,4,130,63,517,253,...,"6,196","1,315",...,...,...,...,...,"1,304",270,...,...,...,...,...,...,...,...,...,...,...,...,"2,889","9,085"
483,Water transportation,...,...,...,...,...,5,6,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,...,9,2,...,...,...,...,...,...,...,...,2,...,...,...,...,1,...,...,...,...,...,...,...,...,...,...,490,40,7,2,151,3,35,...,5,1,...,...,...,11,"1,744",90,658,116,...,"3,379","16,791",...,...,...,...,...,"5,287","13,267",...,...,...,...,...,...,...,...,...,...,...,...,"35,345","38,724"
484,Truck transportation,87,...,...,...,85,...,...,7,4,3,50,19,139,1,6,4,4,17,5,4,2,8,4,11,13,9,"2,105",958,"1,117","1,286","3,096",520,67,115,"4,166",14,5,"2,027",150,77,23,2,103,...,...,17,2,...,...,80,41,18,621,1,96,20,10,65,73,12,33,9,1,16,127,101,"1,215",17,338,146,8,"19,382","9,744",...,...,...,...,...,"1,827","2,736",...,...,...,...,...,...,...,...,...,...,...,...,"14,307","33,689"
485,Transit and ground passenger transportation,...,2,1,5,95,329,344,46,66,94,164,139,15,17,108,65,64,124,138,8,3,47,77,55,82,112,642,24,5,14,49,1,367,...,...,...,1,158,5,135,60,651,679,"1,418","1,018",470,140,7,"1,755",428,633,842,"2,797",111,"1,544",121,266,"1,293","1,065",559,119,"1,080",44,97,391,158,33,5,23,"10,679",646,"32,731","33,217",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"33,217","65,949"
486,Pipeline transportation,...,...,275,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,275,...,...,...,...,...,...,251,...,...,...,...,...,...,...,...,...,...,...,...,...,251,526
487OS,Other transportation and support activities,...,74,21,888,7,"5,718",...,831,890,183,95,12,0,3,8,...,578,189,404,84,...,485,460,647,145,416,"36,985",936,665,434,"5,740","20,775","1,317","6,655","23,924",191,478,"25,422","2,141","1,705",557,191,"2,498",445,"2,730",273,...,...,...,"1,823",781,380,"6,430",175,"1,855",702,311,"1,405","1,728",297,840,447,562,113,354,"1,143",2,109,761,510,"3,276","170,200","18,137",...,...,...,...,...,"10,630","3,495",...,...,...,...,...,...,...,...,...,...,...,...,"32,262","202,462"
493,Warehousing and storage,356,...,7,317,...,628,...,127,119,91,945,430,"2,682",66,134,87,89,336,143,109,45,155,271,62,300,197,"26,772","5,280","9,112","11,679","23,138",19,2,478,"3,096",58,23,671,"8,581",776,185,481,901,...,...,99,...,0,57,422,246,122,916,4,"1,331",86,285,714,749,153,248,158,86,969,"1,523",704,224,339,...,"3,317",89,"111,793",173,...,...,...,...,...,148,...,...,...,...,...,...,...,...,...,...,...,...,...,321,"112,114"
511,"Publishing industries, except internet (includes software)",57,1,21,0,3,126,348,18,2,17,54,37,66,4,15,122,9,36,6,...,0,5,63,5,61,6,"1,462",91,211,80,652,6,48,...,19,1,...,165,141,"14,893",32,624,"1,190",307,725,111,38,0,254,832,"1,198",521,"2,423","1,575",916,6,656,"1,600",756,106,"1,332",20,40,101,81,526,"1,685","1,769",976,"7,731",169,"47,150","105,172",...,...,"93,654",...,177,"48,137","-3,714",...,...,...,"1,937",...,...,...,"2,761",...,...,...,"5,037","253,161","300,311"
512,Motion picture and sound recording industries,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,43,141,191,...,87,3,...,...,1,...,56,4,...,23,"19,104","33,236",345,12,15,...,...,...,47,665,7,12,"1,224",129,26,...,60,23,5,419,459,83,14,50,814,586,"1,505",527,45,192,...,"60,153","32,941",...,...,"31,961",...,111,"18,804","-6,834",...,...,...,...,...,...,...,...,...,...,...,...,"76,983","137,136"
513,Broadcasting and telecommunications,531,46,"1,483",227,754,"1,472","5,473",271,784,425,993,"1,032",521,216,453,439,224,444,922,78,26,352,463,132,972,418,"16,288","1,204",682,615,"6,316",344,183,88,"1,173",315,486,"1,714",629,"2,916",406,"90,767","7,167","8,945","6,437","2,661","1,456",19,"8,927","1,982","5,265","2,684","9,049","4,800","7,299",487,"2,169","5,421","3,224",934,"1,101",337,925,"3,562","5,072","4,203","7,037","6,295","1,147","31,753","1,547","285,179","293,838",...,"7,160","23,236",...,...,"16,269",-155,...,...,...,...,...,...,...,...,...,...,...,...,"340,348","625,527"
514,"Data processing, internet publishing, and other information services",...,0,45,4,26,"1,095",647,395,577,640,"1,301","1,210",527,269,245,729,309,470,808,114,46,480,279,72,587,369,"3,434","1,009",915,806,"3,136",100,1,...,38,13,18,291,117,"2,543",73,"3,371","6,221","6,117","2,340",738,964,1,419,"7,183","2,436","1,699","8,643","3,628","9,411",445,"2,948","1,144","2,109",263,901,281,396,445,"2,187","4,181","11,542","5,452",501,"7,448","2,284","119,437","28,846",...,...,"13,160",...,...,"4,233",-898,...,...,...,772,...,...,...,815,...,...,...,"1,881","48,809","168,246"
521CI,"Federal Reserve banks, credit intermediation, and related activities","2,352",314,"2,621","1,162",722,"8,593","5,203",623,835,"1,382","1,783","2,192","2,102",971,"2,173","1,027",751,"1,575","3,588",324,188,"1,121",687,"1,187","4,112","1,356","25,255","2,356","2,899","2,094","11,768","1,330","9,170",643,"1,183","3,375",662,"1,372",404,"2,805","1,605","10,343","1,256","41,552","29,487","2,274","2,010","109,590","30,980","10,206","2,445","2,490","11,778","20,089","5,954",543,"4,578","3,562","4,014","2,286","1,161",724,"1,722","4,945","5,210","12,871",1,"1,381","5,394","14,006","3,017","461,734","204,408",...,...,...,...,...,"43,630","-8,082",...,...,...,...,...,...,...,...,...,...,...,...,"239,956","701,690"
523,"Securities, commodity contracts, and investments",221,20,"2,383",847,"3,137",607,"1,498",35,47,"1,826","1,865","1,650",100,358,"1,252",692,590,"1,042",112,7,2,12,32,68,26,59,"2,175",92,227,387,724,"2,515",505,"4,318",284,361,63,"1,032",28,315,185,216,126,"20,092","31,398","1,449","72,384",1,"3,700",939,925,425,"2,417","5,508","1,319",43,723,"1,372","3,990",476,"1,045",221,72,"2,267","2,393","8,335",2,10,81,"22,407","1,392","217,426","205,968",...,...,...,...,...,"61,952",-56,...,...,...,...,...,...,...,...,...,...,...,...,"267,864","485,289"
