,total_output
111CA,304793
113FF,44557
211,276907
212,104500
213,94912
22,451632
23,1338945
321,102844
327,128485
331,256421
332,342762
333,346861
334,444363
335,126277
3361MV,514553
3364OT,263654
337,85686
339,159540
311FT,720479
313TT,64444
315AL,29832
322,174231
323,103508
324,606434
325,728765
326,206263
42,1270915
4A0,731625
481,160675
482,60665
483,46950
484,279024
485,44903
486,25741
487OS,178472
493,69034
511,311019
512,137055
513,654178
514,118478
521CI,717393
523,501573
524,691873
525,114334
HS,1505901
ORE,885232
532RL,270164
5411,290435
5415,256952
5412OP,997199
55,433488
561,588906
562,76521
61,236611
621,708037
622,530029
623,172641
624,134045
711AS,126654
713,114911
721,192814
722,521469
81,536252
GFGD,549978
GFGN,291130
GFE,100858
GSLG,1768728
GSLE,223395
