,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,100821,613,0,25,19,0,1717,0,0,0,0,0,0,0,0,0,0,236,271958,2582,0,0,0,0,20768,0,861,389,0,0,0,0,0,0,61,0,0,0,0,0,1,0,0,0,0,7,0,2,1,1302,34,1565,0,257,0,0,0,0,0,486,55,4123,25,14,-20,0,3230,0
113FF,22915,7798,0,101,0,0,0,15227,1,0,0,0,0,0,0,0,122,296,9560,0,64,3842,30,0,452,2395,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,22,2,0,74,0,0,0,0,0,242,443,5433,130,0,51,18,4146,0
211,0,0,21742,0,4,12414,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,323633,5565,0,4,5,0,0,0,0,0,7,0,80,4,0,2,6,0,0,0,0,0,35,0,0,0,4,3,0,2,196,1,0,0,0,0,23,0,0,3,0,0,1911,0,23385
212,1841,0,110,9766,130,5310,19359,18,13579,11430,582,132,8,101,90,253,22,95,2143,76,0,2554,0,5165,7549,256,29,2,0,128,0,7,1,0,3,4,41,21,384,456,0,0,0,0,11,0,0,0,0,1509,70,1025,90,493,0,40,48,182,328,1036,198,1279,1499,0,4657,0,2655,7204
213,0,0,12509,1040,2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9254,103,4060,3740,729,11338,9328,1860,3916,5187,4866,2771,1978,767,3318,2476,687,981,8518,882,19,6219,1439,5996,14612,4945,15273,16909,284,71,274,4361,303,698,1634,2751,1050,541,4373,2276,4660,1045,854,2841,604,42245,1531,774,547,5904,5253,3450,1496,6811,4636,9070,4076,1376,1066,3435,6585,19703,6511,3511,1201,2793,21260,2846
23,1545,33,180,2689,2104,7400,248,308,817,880,1256,900,529,142,760,513,126,294,1610,87,4,905,295,9279,1990,685,3363,3371,227,2394,68,561,313,470,1308,813,135,108,2337,553,5930,1288,664,103,75764,43151,637,177,60,1549,737,800,130,1990,717,1110,581,480,211,482,2809,1674,3321,9838,652,540,31588,51847
321,540,135,0,351,402,5,61402,30110,220,394,190,998,366,528,3807,288,7934,1343,321,57,0,5748,2,0,257,1373,6634,984,0,2683,0,175,0,3,88,109,61,63,867,889,145,4,0,0,37,7485,420,10,25,967,5,1211,25,35,407,357,3,729,8,205,722,744,481,20,69,5,2608,292
327,34,78,690,593,1326,80,102343,857,18797,2613,1779,2943,496,2087,7722,559,452,1175,4580,44,0,708,1,2219,2268,2250,172,813,0,18,0,223,0,0,33,93,5,2,3888,789,83,45,23,0,188,130,705,1,276,4871,79,1260,300,142,3267,2886,231,481,14,197,170,2750,1730,153,840,0,1905,3368
331,83,0,3008,579,558,5,5659,236,1562,68668,77294,42241,6111,16101,45771,12676,3693,5184,2255,87,0,1043,16,16,63,2007,524,310,0,722,0,0,0,0,268,0,23,6,485,330,0,0,0,0,1,2775,72,0,0,1412,45,539,376,160,195,20,15,265,23,360,33,113,820,150,560,0,89,603
332,2031,206,6105,1109,1355,1094,117559,2984,1879,4433,42004,30704,9057,10335,28729,17653,5170,5159,16540,411,28,6505,948,1290,10392,8878,2955,2011,221,467,2560,1958,393,1840,741,898,1167,28,12715,1605,407,178,0,40,30,2881,1631,32,2985,5736,600,2759,3842,491,409,1502,33,2830,48,618,1628,3414,6803,7334,1422,224,5064,6058
333,2302,86,6525,4817,6969,1611,49928,486,137,1664,6581,40031,516,1908,31908,5738,117,1202,4299,26,2,787,1634,79,4874,2123,2622,820,13,41,93,622,73,77,3897,1793,130,51,1666,663,9,46,627,0,131,134,981,30,2359,2801,308,3753,5080,2608,828,739,180,176,34,197,100,765,7858,847,246,132,5322,2387
334,81,1,42,36,232,150,9428,1079,630,1280,5666,7737,43589,3906,15213,23875,1014,2244,3034,303,21,1040,1062,357,5656,2325,39928,1769,4,105,1,274,4,8,146,165,3247,522,18806,6315,913,1092,62,1769,2,1016,182,1589,6663,10311,7525,6803,973,1262,10096,695,162,756,30,158,438,190,4074,21362,3302,0,2713,2123
335,2039,112,114,61,540,23,53292,427,95,1163,2786,15117,3408,10839,6874,2579,123,956,1409,37,1,480,82,134,1110,1007,501,401,1,316,21,155,179,3,126,235,5,0,5005,284,257,80,24,0,8,2362,273,1,3564,6162,112,2258,1314,698,18,983,1010,629,59,422,1216,483,5120,2414,3398,49,1783,4119
