,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,78092,880,0,36,22,0,1812,0,0,0,0,0,0,0,0,0,0,351,289404,3010,0,0,0,0,30950,0,2407,525,0,0,0,0,0,0,99,0,0,0,0,0,1,0,0,0,0,6,0,4,2,1677,58,1552,0,198,0,0,0,0,0,440,58,3007,53,13,-168,0,4097,0
113FF,23196,5641,0,133,0,0,0,11678,1,0,0,0,0,0,0,0,134,468,8402,0,80,3747,45,0,639,3074,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,11,1,0,73,0,0,0,0,0,174,442,3079,86,0,83,10,3367,0
211,0,0,33628,22,4,32031,0,2,0,7,1,0,0,0,0,0,0,0,1,0,0,4,0,570546,8047,2,35,14,0,0,0,0,0,70,0,5,5,1,2,8,0,0,0,0,0,494,0,0,0,17,39,1,6,316,9,52,8,5,2,10,20,54,24,0,242,2661,0,22522
212,2837,2,215,9447,104,15392,13961,13,11081,17627,802,252,11,131,94,139,19,169,1820,149,0,2469,0,4125,9554,204,32,4,0,145,0,6,1,0,3,4,69,33,289,400,0,0,0,0,3,0,0,0,0,1115,65,456,91,326,0,88,35,15,220,622,97,563,1126,0,3619,0,2094,7834
213,0,0,12444,2038,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4509,117,5012,4060,244,25121,4090,2116,3764,10337,4418,2211,1568,1020,3017,1357,653,1034,8382,1395,63,6719,1345,7126,15547,5448,15963,13219,110,95,95,1192,71,1196,825,12706,1059,373,4033,1218,2473,1221,382,2102,277,55276,1926,608,311,4335,8020,2199,517,6978,3363,9114,2437,1228,628,2345,5972,18881,5197,2286,1358,1310,17068,2660
23,1664,40,1415,2918,2544,7507,222,231,386,956,707,543,244,157,490,207,120,187,1042,84,9,678,249,7451,1738,579,2223,2049,351,2114,60,313,206,1037,1599,916,115,38,2323,136,3514,1345,416,434,64235,48486,258,128,34,736,505,370,38,714,407,809,269,255,160,383,810,1581,3487,6425,1926,638,27157,42348
321,285,55,0,65,199,0,37950,18789,245,322,137,1005,395,259,3579,350,6249,965,369,45,0,5071,2,0,262,1119,2700,772,0,1701,0,72,0,16,100,142,124,106,818,1086,95,5,0,0,9,6354,313,19,26,641,3,491,23,33,250,302,6,1445,4,131,445,600,312,22,70,3,3248,191
327,6,75,826,459,732,46,60888,659,13148,3630,1512,2622,387,2103,8099,391,403,1042,6657,37,0,699,1,1683,1950,1633,436,749,0,11,0,26,0,3,67,111,9,3,2699,908,61,37,7,0,11,135,495,8,92,3556,103,1262,98,93,2266,2415,247,268,11,123,95,1844,1373,29,668,0,2000,2379
331,104,0,4902,744,571,4,5044,216,1127,90888,83314,53518,5564,19103,43637,11993,3473,5719,2258,293,0,887,22,14,53,1896,1423,596,0,1144,0,0,0,0,470,0,35,11,324,303,0,0,0,0,0,1951,83,0,43,1778,38,537,395,157,235,132,26,390,22,343,18,98,997,86,394,0,333,476
