,total_output
111CA,404166
113FF,46892
211,362616
212,124610
213,126190
22,461579
23,1075477
321,80398
327,99293
331,269219
332,343079
333,404551
334,354252
335,122793
3361MV,516699
3364OT,290816
337,65731
339,156593
311FT,895874
313TT,51801
315AL,19243
322,179237
323,83081
324,833175
325,794028
326,216485
42,1655027
4A0,763319
481,195414
482,79141
483,50022
484,297775
485,50992
486,36442
487OS,187233
493,108888
511,296233
512,131700
513,733128
514,221542
521CI,761618
523,478471
524,798591
525,117259
HS,1726663
ORE,889093
532RL,298616
5411,306936
5415,354222
5412OP,1123862
55,478846
561,661562
562,83565
61,309611
621,869254
622,709379
623,208980
624,169679
711AS,144768
713,119836
721,214978
722,613982
81,576030
GFGD,676302
GFGN,370377
GFE,98913
GSLG,1947061
GSLE,298569
