,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,0.16288431820940769,0.014722714724959042,0.0,0.00019138755980861245,0.00016857720836142953,0.0,0.001286834037245742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004136893569010906,0.28429836261709224,0.061122835329898824,0.0,0.0,0.0,0.0,0.0249723847879632,0.0,0.001472167690207449,0.0003772424397744746,0.0,0.0,0.0,0.0,0.0,0.0,0.0004034246268322202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3889421078316193e-06,0.0,3.4431111952760516e-06,3.891777452598151e-06,0.0005705982456861669,8.535415051858414e-05,0.0016793851650348272,0.0,0.0005832357751752877,0.0,0.0,0.0,0.0,0.0,0.0024453707652008945,0.00016077670708558508,0.00311236142512786,5.22142574759628e-05,1.2727781838546268e-05,-0.0014186102428468382,0.0,0.0015338706686387053,0.0
113FF,0.06069365110091111,0.15786520636488094,0.0,0.0010430622009569377,0.0,0.0,0.0,0.15604216094278714,7.783009689847064e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014121326704479144,0.0025322803058794034,0.010744240984123063,0.0,0.003083936712255296,0.01904942289259661,0.0005216988058893998,0.0,0.0005200579061837492,0.008973979821877894,0.0,9.567743037758414e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.680935945134251e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.721628280814561e-05,2.0761820396412358e-05,1.6980638675781874e-06,0.0,0.0003676921191322466,0.0,0.0,0.0,0.0,0.0,0.001566429671658936,0.0016181397616355658,0.005204527977693784,0.00012121166914062792,0.0,0.00018891903960430048,0.00037676733625493266,0.0014841173996227798,0.0
211,0.0,0.0,0.09446853997912656,0.00041148325358851675,0.0008428860418071476,0.1950149679384986,0.0,0.0001361285053090117,1.5566019379694128e-05,6.239738554954547e-05,1.750485759798344e-05,0.0,0.0,0.0,5.830303195200494e-06,0.0,0.0,0.0,1.387965506281238e-05,0.0,0.0,0.00013200865517617416,1.9322177995903697e-05,0.6549929588380599,0.015164010346270745,0.00010181176459180754,7.081512138892058e-05,9.977789167948061e-05,0.0,0.0,0.0,0.0,0.0,0.010644497105784545,0.0,0.00018831300518585046,1.92914259257473e-05,1.45926817700923e-05,1.0700451559055792e-05,1.688077111362447e-05,0.0,0.0,0.0,0.0,0.0,0.00016266922117591772,0.0,0.0,7.783554905196301e-06,5.014044338191274e-05,0.00043830509725759423,5.094191602734562e-06,0.00022216123678467348,0.0009509278943075343,4.519537820763604e-05,0.00020187574642142222,0.0003707114764163785,0.0001193629005184826,0.00013422394871066053,0.00040030980497950586,0.00035267148651031563,0.00042188509767598844,0.0002834488262980837,0.0,0.0037474667674234877,0.02336948977770727,0.0,0.08328745048009131
212,0.008507413227994082,4.4886325380972685e-05,0.00019140000072226414,0.08507177033492823,0.0010430714767363453,0.03307781556665604,0.011947466102043027,0.00021391622262844696,0.12448145697941394,0.06485428260555882,0.0024594324925166734,0.00043533288550745114,0.00018903464059788957,0.0014254377281690252,0.00024681616859682093,0.0003223922261752145,0.0003967976098779264,0.0012348000501441645,0.00445120537864393,0.005617280119173236,0.0,0.018527127778638703,0.0,0.002902211947219318,0.011404224955918574,0.002036235291836151,1.258935491358588e-05,2.7336408679309757e-06,0.0,0.0022253358608752987,0.0,2.5087447674751994e-05,0.0,0.0,5.603119817114169e-06,4.3456847350580874e-05,0.00048550088579797375,0.0009704133377111379,0.0005120930388976701,0.0004895423622951096,0.0,0.0,0.0,0.0,6.640542771403963e-07,0.0,0.0,0.0,0.0,0.0009326122469035769,0.00015456021850662532,0.0006843197386340095,0.0009278498712771658,0.0017539336717227855,0.0,8.490101485013084e-05,0.00023748703957924248,3.730090641202581e-05,0.0024555087087656134,0.006518087911514129,0.00041490763118860665,0.0009415708316314105,0.0012288998455949815,0.0,0.009353209906227459,0.0,0.001041426380992442,0.019812439848698495
213,0.0,0.0,0.028045517086964216,0.015148325358851675,0.01639413351314902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8050559617488585e-05,4.613737865869412e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.01702466920172051,0.002603406872096416,0.0055650453040190385,0.024851674641148326,0.001306473364801079,0.04577177879335388,0.0029553118313298903,0.01822177278207771,0.04133556446277776,0.0391894579617114,0.01333578401339705,0.007247860093812795,0.008562819136606782,0.010183960657918703,0.0082440487180135,0.005537560590774272,0.010118339051887124,0.009326814591951862,0.01505942574315143,0.02686053007262119,0.01076025744167337,0.039275444668285205,0.010917030567685589,0.003706916168948311,0.022539501759826556,0.023823952914482967,0.0065307278614226754,0.015527080129847942,0.0008651003578652559,0.0013681694552048133,0.0019169329073482429,0.004350880211021274,0.005923880364340913,0.08037760770754827,0.056843650544623245,0.06237506156386708,0.0015208074104797456,0.0015978986538251066,0.0023953725132914894,0.00502202940630328,0.0026847209270232635,0.0015949821860427097,0.0005954850095320962,0.0120611541623664,5.3124342171231705e-06,0.061378260162307734,0.00860588383352334,0.0010088315802158831,0.0015061178741554843,0.0019123565105861517,0.017539124497102574,0.002494455821472357,0.003815945949477921,0.021562818296697955,0.002067688552999349,0.0057996826588733825,0.008323631118911498,0.0033272408519527024,0.0039635542501618585,0.01226166337426356,0.0208594811580072,0.028653668770339178,0.006198578280360726,0.003814698042467153,0.0038745577577027446,0.011193955858732079,0.010299492064353592,0.006719040265001455
23,0.005682545202809776,0.000718181206095563,0.004478037752747312,0.01690909090909091,0.017658462575859745,0.012636394232472455,0.00014190276673052291,0.003218466804091634,0.0041094291162392495,0.003962233982396137,0.0021706023421499466,0.0016115965761501006,0.0020343727988153828,0.0016630106828638628,0.0011699475078368992,0.0008913196841314753,0.0021006932287654925,0.0016672934687225775,0.0017307929863327038,0.002296567562534914,0.0019442209707696432,0.0033863089806062067,0.0029079877883835064,0.01056504087831487,0.002460326717117315,0.0027295249269136974,0.000830110589614569,0.002011959678797198,0.00028629220476116386,0.011851973955328443,0.0015761448349307773,0.0009174838006766443,0.0026724272320334946,0.06950001942426479,0.0009301178896409521,0.004070458035171075,0.00025721901234329733,0.00039400240779249206,0.0028524346584568724,0.0005823866034200442,0.009043857411488542,0.002703494805342393,0.0007429109099502365,0.0016792904997638498,0.0421269392875096,0.05206657689735572,0.0003849513628758828,0.0002788920068173602,0.00012064510103054266,0.0007039718250820548,0.0010657734470158344,0.00047885401065704883,0.0002875027770154598,0.0011918296275321098,0.00044912907093838314,0.0006509077805176697,0.0013901680365614193,0.0012309299115968518,0.0006237465851848343,0.0021842991532577388,0.0027539494020143765,0.0023050267609388093,0.004682500018647949,0.008340333613344533,0.00495998351252018,0.003271926867477047,0.01092988859790765,0.145236016920701
321,0.001505940097049473,0.0004264200911192405,0.0,0.00027751196172248803,0.0016646999325691167,0.0,0.042034586932248895,0.2514196258410797,0.0025372611588901427,0.0014390397042363925,0.0004988884415425281,0.002816690259210462,0.001897097643143106,0.003191396691400651,0.006535769881819754,0.0013502545002161924,0.09831244310622506,0.00752162467092892,0.0002956366528379037,0.0011172490844764446,0.0,0.025253829685876795,1.9322177995903697e-05,0.0,0.000498102954999211,0.010122998307985437,0.001712939102929779,0.00130257987356911,0.0,0.03189648067254595,0.0,0.00031180113538620334,0.0,0.0014373955945767452,0.00045945582500336185,0.0008981081785786714,0.001035306524681772,0.001999197402502645,0.001857292663464684,0.007790475868937693,0.00019654498998456912,1.5949821860427098e-05,0.0,0.0,3.3202713857019816e-06,0.010193937860357511,0.000533009579366607,5.1646667929140775e-05,3.8917774525981505e-05,0.0009907751612265956,9.227475731738825e-06,0.0011156279609988691,0.00037898093333856063,0.000270486156603032,0.0005734163610093823,0.0005150661567574604,3.475420091403548e-05,0.011235033011302175,7.105973755270264e-05,0.0016795607035009702,0.002375346188554773,0.0012100431665161304,0.0008447520941646838,4.7274618257457574e-05,0.00022670284752516058,9.914929901445597e-06,0.0018753590150661944,0.0008236531703932497
327,3.937098292939799e-05,0.0002468747895953498,0.0014084150996543966,0.002889952153110048,0.005995026972353338,4.649803379742799e-05,0.0731068117062314,0.01017074403951616,0.1689613573568899,0.01222208789451722,0.004994719367957942,0.005685274504772805,0.0014897730009024153,0.012749748568622947,0.015351188312962902,0.001270604656102316,0.005041663749037182,0.007659521123229284,0.007726803973467651,0.0011793184780584693,0.0,0.0029214089341162023,9.661088997951849e-06,0.0016902086624430688,0.0021845176428615535,0.010530245366352666,0.00038004115145387376,0.0013996241243806596,0.0,0.00021429160141762135,0.0,5.017489534950399e-05,0.0,0.00011654558874946584,0.0003585996682953068,0.0007967088680939827,4.8228564814368256e-05,1.45926817700923e-05,0.003654968525386057,0.007832677796721754,7.666648545497377e-05,4.1868282383621125e-05,3.3243095192325756e-05,0.0,5.3124342171231705e-06,0.00027224501599580674,0.00099569150590012,5.1646667929140775e-05,0.00031134219620785204,0.0053560021620559185,0.000542114199239656,0.0023501203927282113,0.0017511532781850734,0.0005367459670091416,0.0037766387914755866,0.0018923492865484718,0.000880439756488899,0.0018575851393188853,0.00020528368626336317,0.0018623108318611796,0.0004512120489176097,0.003231256316291093,0.0020978942735877908,6.182065464436759e-05,0.0017792738639095937,0.0,0.0009781040386085368,0.01013451509657781
331,0.00035105793112046534,0.0,0.00849021512637817,0.005368421052631579,0.007269892110586648,2.214192085591809e-06,0.003928466068434476,0.0032768075920812105,0.013690314044440986,0.3438836912733356,0.2546489984303978,0.13496184350503515,0.02308473027682323,0.17356288160155847,0.08120640633715089,0.04684548688811852,0.04938963191186425,0.05158580920145418,0.003276986560330003,0.002001737943020297,0.0,0.004895799255012025,0.00042508791590988135,2.4734760913801007e-05,7.547014469685014e-05,0.00833402015872939,0.00128411420118576,0.0012356056723048009,0.0,0.030627215033380038,0.0,0.0,0.0,0.0,0.0012494957192164598,0.0,0.0002636494876518798,0.00045237313487286125,0.0005411371217008215,0.0010212866523742804,0.0,0.0,0.0,0.0,0.0,0.0011127026587380484,9.25363853067026e-05,0.0,0.00015567109810392602,0.0015413172295599975,0.00010380910198206179,0.0005943223536523655,0.0065210857150324745,0.0006001411599629772,0.00028812053607367975,0.000528272981289703,9.847023592310054e-05,0.0013055317244209034,0.000481627110079429,0.002619418506496332,7.260883545800616e-05,0.00016875403907039537,0.0011804151779387304,0.00022546356399710533,0.0018514065881221448,0.0,0.0002108860152606845,0.001956176279683968
